,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bang Bon,13.6592,100.3991,ขาหมูบางหว้า,13.657136,100.39523,Restaurant
1,Bang Bon,13.6592,100.3991,Irashaimase Japanese Restaurant,13.658358060432263,100.4014034321724,Japanese Restaurant
2,Bang Bon,13.6592,100.3991,Lotus Express (โลตัส เอ็กซ์เพรส),13.65783911965964,100.39724347536719,Convenience Store
3,Bang Bon,13.6592,100.3991,บ้านพลูหลวง,13.658532,100.398442,Restaurant
4,Bang Bon,13.6592,100.3991,Tesco Lotus Express thanon ekkachai bangbon,13.657758,100.397366,Infrastructure
5,Bang Kapi,13.765832999999999,100.647778,ตลาดนัดแฟลตคลองจั่น,13.770105448298283,100.6491237635745,Household
6,Bang Kapi,13.765832999999999,100.647778,ซ้งโภชนา ลูกชิ้นปลาทำเอง,13.761873,100.64829,Noodle House
7,Bang Kapi,13.765832999999999,100.647778,Suan Son (สวนสน),13.762939676580062,100.64889465674915,Culture
8,Bang Kapi,13.765832999999999,100.647778,เจ๊แมว ก๋วยเตี๋ยวเรือ,13.767127601495513,100.64963941522807,Noodle House
9,Bang Kapi,13.765832999999999,100.647778,Bang Kapi Market (ตลาดบางกะปิ),13.766542831997201,100.6462025642395,Household
10,Bang Kapi,13.765832999999999,100.647778,Baan Suan Massage (บ้านสวนมาสสาจ),13.765411515558778,100.65119246035142,Nightlife
11,Bang Kapi,13.765832999999999,100.647778,Tea Pe Ooh,13.762931001059298,100.64793554370354,Café
12,Bang Kapi,13.765832999999999,100.647778,Major Cineplex Bangkapi (เมเจอร์ ซีนีเพล็กซ์ บางกะปิ),13.76719893835215,100.64423113695204,Activities
13,Bang Kapi,13.765832999999999,100.647778,ทรงกิจลูกชิ้นเนื้อวัว,13.763035630384675,100.64848457160906,Noodle House
14,Bang Kapi,13.765832999999999,100.647778,MK (เอ็มเค),13.767380014366532,100.6435812722145,Hotpot Restaurant
15,Bang Kapi,13.765832999999999,100.647778,7-Eleven,13.767977896346316,100.65079491074307,Convenience Store
16,Bang Kapi,13.765832999999999,100.647778,ก๋วยเตี๋ยวเนื้อ ลำสาลี,13.761883876169547,100.64565188617875,Noodle House
17,Bang Kapi,13.765832999999999,100.647778,Shabushi (ชาบูชิ),13.767331595298481,100.64382780445068,Japanese Restaurant
18,Bang Kapi,13.765832999999999,100.647778,Batcat Museum & Toys Thailand,13.763892149313712,100.64542506727466,Culture
19,Bang Kapi,13.765832999999999,100.647778,Hachiban Ramen (ฮะจิบัง ราเมน),13.767572124594121,100.64359115824453,Japanese Restaurant
20,Bang Kapi,13.765832999999999,100.647778,Bar B Q Plaza (บาร์บีคิว พลาซ่า),13.767407783838014,100.64386426407818,BBQ Joint
21,Bang Kapi,13.765832999999999,100.647778,ส้มตำลาว,13.768335174023276,100.6502902507782,Restaurant
22,Bang Kapi,13.765832999999999,100.647778,Fuji (ฟูจิ),13.76746123592926,100.64364615824711,Japanese Restaurant
23,Bang Kapi,13.765832999999999,100.647778,7-Eleven (เซเว่น อีเลฟเว่น),13.763103997789317,100.64949631690979,Convenience Store
24,Bang Kapi,13.765832999999999,100.647778,T2 vcd &dvd,13.76319120837516,100.648777247557,Stores
25,Bang Kapi,13.765832999999999,100.647778,ICK,13.763471298532421,100.64387115952121,Nightlife
26,Bang Khae,13.696110999999998,100.409444,Starbucks (สตาร์บัคส์),13.694459519051328,100.40811061891607,Café
27,Bang Khae,13.696110999999998,100.409444,McDonald's & McCafé (แมคโดนัลด์ & แมคคาเฟ่),13.695474416840929,100.40785175237913,Western Restaurant
28,Bang Khae,13.696110999999998,100.409444,The Explace (ดิ เอ็กซ์เพลส),13.694442469963036,100.40797932116867,Infrastructure
29,Bang Khae,13.696110999999998,100.409444,ปฐมโอชา,13.697163,100.407036,Noodle House
30,Bang Khae,13.696110999999998,100.409444,7-Eleven,13.695732690094474,100.40791225163072,Convenience Store
31,Bang Khae,13.696110999999998,100.409444,7-Eleven (เซเว่น อีเลฟเว่น),13.695659814348097,100.41305926797861,Convenience Store
32,Bang Khae,13.696110999999998,100.409444,Baan Coffee,13.697899732281035,100.40810791279588,Café
33,Bang Khae,13.696110999999998,100.409444,CP Fresh Mart (ซีพี เฟรชมาร์ท),13.697809678747412,100.40797808149793,Stores
34,Bang Khae,13.696110999999998,100.409444,The Explace,13.69372,100.408244,Infrastructure
35,Bang Khae,13.696110999999998,100.409444,Bar B Q Plaza (บาร์บีคิว พลาซ่า),13.693695673596638,100.40799388812059,BBQ Joint
36,Bang Khae,13.696110999999998,100.409444,ลิ้มเหล่าโหงว,13.693314,100.408104,Noodle House
37,Bang Khae,13.696110999999998,100.409444,Tesco Lotus Express,13.6959584620699,100.40516048669815,Convenience Store
38,Bang Khen,13.873889000000002,100.596389,ต้มเลือดหมูตำลึง & ข้าวหมูทอด,13.874413,100.60019,Asian Restaurant
39,Bang Khen,13.873889000000002,100.596389,โครงการไม้ดอกไม้ประดับ,13.870036337860201,100.59517636747196,Activities
40,Bang Khen,13.873889000000002,100.596389,ไทยอีสาน 2005,13.874824,100.59966,Restaurant
41,Bang Khen,13.873889000000002,100.596389,ข้าวหมูแดง หมูกรอบ นครปฐม,13.874259,100.60011,Asian Restaurant
42,Bang Khen,13.873889000000002,100.596389,สวนกลางสระ วัดพระศรีมหาธาตุ,13.87322280330499,100.59440128500101,Activities
43,Bang Khen,13.873889000000002,100.596389,ก๋วยเตี๋ยวลูกชิ้นหมูแม่ตุ๋ม (เจ๊ไนท์),13.870996,100.5938,Noodle House
44,Bang Khen,13.873889000000002,100.596389,7-Eleven,13.875842,100.598404,Convenience Store
45,Bang Khen,13.873889000000002,100.596389,แหนมเนืองคุณนิด (อาหารเวียดนาม),13.874746,100.60003,Asian Restaurant
46,Bang Khen,13.873889000000002,100.596389,7-Eleven (เซเว่น อีเลฟเว่น),13.871264104196333,100.59281453490257,Convenience Store
47,Bang Khen,13.873889000000002,100.596389,Dansé Studio,13.875902505921651,100.59546908650965,Sport
48,Bang Khen,13.873889000000002,100.596389,ร้านต้นไม้@ราบ11 รามอินทรา,13.87047695639884,100.59526561404768,Stores
49,Bang Khen,13.873889000000002,100.596389,ก๋วยเตี๋ยวหมูปากซอยวัดพระศรี,13.871041806340456,100.59385158506338,Noodle House
50,Bang Kho Laem,13.693332999999999,100.5025,เย็นตาโฟ (วัดจันทร์ใน),13.694552,100.50455,Noodle House
51,Bang Kho Laem,13.693332999999999,100.5025,Baan Klang Krung (บ้านกลางกรุง),13.690974203966611,100.50315138552452,Restaurant
52,Bang Kho Laem,13.693332999999999,100.5025,ห้องอาหารจันทร์เพ็ญ,13.692355113057904,100.5042336781303,Restaurant
53,Bang Kho Laem,13.693332999999999,100.5025,Starbucks (สตาร์บัคส์),13.690738914588312,100.50413072173575,Café
54,Bang Kho Laem,13.693332999999999,100.5025,MR.เฝอหม้อไฟ,13.690684237750087,100.50345082309686,Asian Restaurant
55,Bang Kho Laem,13.693332999999999,100.5025,Gō Coffee & Icē-cream,13.69166913444301,100.5039582626515,Café
56,Bang Kho Laem,13.693332999999999,100.5025,Pad Thai Shop (ร้านผัดไทย),13.693819,100.50493,Noodle House
57,Bang Kho Laem,13.693332999999999,100.5025,MaxValu (แมกซ์แวลู),13.690932292171835,100.50433516453381,Household
58,Bang Kho Laem,13.693332999999999,100.5025,ต้าหลง,13.691038315646507,100.50426145778765,Chinese Restaurant
59,Bang Kho Laem,13.693332999999999,100.5025,MK (เอ็มเค),13.690782240026008,100.50418442316946,Hotpot Restaurant
60,Bang Kho Laem,13.693332999999999,100.5025,7-Eleven (เซเว่น อีเลฟเว่น),13.691378358990969,100.5025616308777,Convenience Store
61,Bang Kho Laem,13.693332999999999,100.5025,KFC (เคเอฟซี),13.690438239572705,100.50435535942056,Western Restaurant
62,Bang Kho Laem,13.693332999999999,100.5025,Tree on 3 (ทรีออนทรี),13.690647357996685,100.50438997956108,Infrastructure
63,Bang Kho Laem,13.693332999999999,100.5025,The China Restaurant,13.691619045599026,100.50245379454883,Chinese Restaurant
64,Bang Kho Laem,13.693332999999999,100.5025,ก๋วยเตี๋ยวเป็ดเจ๊โจ๋,13.690765349206115,100.5032747266192,Noodle House
65,Bang Kho Laem,13.693332999999999,100.5025,BRT สะพานพระราม 3 (Rama III Bridge),13.693799344079139,100.50034881738344,Infrastructure
66,Bang Kho Laem,13.693332999999999,100.5025,ร้านอาหารตามสั่ง,13.693756219342111,100.50553545045578,Restaurant
67,Bang Khun Thian,13.660832999999998,100.435833,ไผ่ทองโภชนา,13.66210099667587,100.43526423921672,Restaurant
68,Bang Khun Thian,13.660832999999998,100.435833,ขนมจีนเทวดา บีบเส้นสดๆ,13.659427894389015,100.43369221781151,Noodle House
69,Bang Khun Thian,13.660832999999998,100.435833,Tops Market (ท็อปส์ มาร์เก็ต),13.662780708486233,100.43740986726459,Household
70,Bang Khun Thian,13.660832999999998,100.435833,ครัวชาวใต้,13.661324895258407,100.43442902998439,Restaurant
71,Bang Khun Thian,13.660832999999998,100.435833,After You (อาฟเตอร์ ยู),13.663297994271733,100.4372470900668,Dessert Shop
72,Bang Khun Thian,13.660832999999998,100.435833,Amor (อะมอร์),13.663394515370044,100.43732248281691,Household
73,Bang Khun Thian,13.660832999999998,100.435833,Starbucks Reserve (สตาร์บัคส์ รีเสิร์ฟ),13.663825128156747,100.43766759688408,Café
74,Bang Khun Thian,13.660832999999998,100.435833,Black Canyon Coffee (แบล็คแคนยอนคอฟฟี่),13.660985935256084,100.43408170508575,Restaurant
75,Bang Khun Thian,13.660832999999998,100.435833,BonChon Chicken (บอนชอน ชิคเก้น),13.663334469560315,100.4371627703932,Western Restaurant
76,Bang Khun Thian,13.660832999999998,100.435833,Fitness First (ฟิตเนส เฟิรส์ท),13.663428147633828,100.4380216609412,Sport
77,Bang Khun Thian,13.660832999999998,100.435833,UNIQLO (ยูนิโคล่),13.663285319260842,100.43944994391587,Stores
78,Bang Khun Thian,13.660832999999998,100.435833,Central Department Store (ห้างสรรพสินค้าเซ็นทรัล),13.663220942480992,100.43772709901111,Stores
79,Bang Khun Thian,13.660832999999998,100.435833,AIS Serenade Club (เอไอเอส เซเรเนด คลับ),13.663546344626619,100.43910771265861,Stores
80,Bang Khun Thian,13.660832999999998,100.435833,MK (เอ็มเค),13.664319596567958,100.43846640982532,Hotpot Restaurant
81,Bang Khun Thian,13.660832999999998,100.435833,Park Village,13.661428081148811,100.43408734767733,Infrastructure
82,Bang Khun Thian,13.660832999999998,100.435833,The Terrace (เดอะ เทอเรส),13.662268123368783,100.43743580069412,Restaurant
83,Bang Khun Thian,13.660832999999998,100.435833,CentralPlaza Rama 2 (เซ็นทรัลพลาซา พระราม 2),13.663666945121749,100.43814415931747,Infrastructure
84,Bang Khun Thian,13.660832999999998,100.435833,Bar B Q Plaza (บาร์บีคิว พลาซ่า),13.664320796007852,100.43851631163739,BBQ Joint
